제품명,기능성,processed_text
더 채움 프리미엄,①관절 및 연골 건강·피부보습에 도움을 줄 수 있음,관절 연골 피부 보습 줄 수
더 청춘W,"[회화나무열매추출물] 갱년기 여성의 건강에 도움을 줄 수 있음(기타기능Ⅱ)

[비타민C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요

[비타민B1] ①탄수화물과 에너지 대사에 필요

[나이아신] ①체내 에너지 생성에 필요

[비타민B6] ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민B2] ①체내 에너지 생성에 필요

[판토텐산] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[비오틴] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[엽산] ①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민B12] ①정상적인 엽산 대사에 필요

[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

[비타민E] ①유해산소로부터 세포를 보호하는데 필요

[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요

[망간] ①뼈 형성에 필요②에너지 이용에 필요③유해산소로부터 세포를 보호하는데 필요

[마그네슘] ①에너지 이용에 필요②신경과 근육 기능 유지에 필요

[칼슘] ①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌

[셀레늄(또는 셀렌)] ①유해산소로부터 세포를 보호하는데 필요

[구리] ①철의 운반과 이용에 필요②유해산소로부터 세포를 보호하는데 필요

[베타카로틴] ①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요",회화나무 물 갱년기 여성 줄 수 비타민 철 산소 비타민 에너지 나이아신 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 에너지 생 판토텐산 지방 단백질 에너지 생 비오틴 지방 단백질 에너지 생 엽산 혈액 생 태아 경관 혈액 시스테인 비타민 엽산 비타민 칼슘 인 뼈 골다공증 감소 비타민 산소 아연 면역 망간 뼈 에너지 산소 마그네슘 에너지 신경 근육 칼슘 뼈 치아 신경 근육 혈액 골다공증 감소 셀레늄 셀렌 산소 구리 철 운반 산소 베타카로틴 곳 피부 점막 상피세포
더 촉촉 히알루론산,"피부보습에 도움을 줄 수 있음

①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요

①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요",피부 보습 줄 수 곳 피부 점막 상피세포 항산화 산소
더 콜라겐,"[저분자 피쉬 콜라겐 펩타이드 (Naticol® BPMG)(제2023-25호)](국문)① 피부 보습에 도움을 줄 수 있음 ② 자외선에 의한 피부 손상으로부터 피부 건강을  유지하는데 도움을 줄 수 있음(영문)① May help to moisturize (dry) skin ② May help to maintain good skin health by protecting against damage from UV exposure
[비타민D]칼슘과 인이 흡수되고 이용되는데 필요뼈의 형성과 유지에 필요골다공증발생 위험 감소에 도움을 줌
[판토텐산]지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[비오틴]지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[비타민C]결합조직 형성과 기능유지에 필요철의 흡수에 필요항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[아연]정상적인 면역기능에 필요정상적인 세포분열에 필요
[셀렌]유해산소로부터 세포를 보호하는데 필요",저분자 피쉬 콜라겐 펩타이드 호 피부 보습 줄 수 자외선 피부 손상 피부 줄 수 비타민 칼슘 인 뼈 골다공증 감소 판토텐산 지방 단백질 에너지 생 비오틴 지방 단백질 에너지 생 비타민 철 항산화 산소 아연 면역 셀렌 산소
더 콜라겐 뷰티,"저분자콜라겐펩타이드GT(제2022-6호) : (국문) 피부 보습에 도움을 줄 수 있음, 자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음, (영문) May help to moisturize (dry) skin, May help to maintain good skin health by protecting against damage from UV exposure
히알루론산 : 피부보습에 도움을 줄 수 있음
셀레늄 : 유해산소로부터 세포를 보호하는데 필요
판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
아연 : (1) 정상적인 면역기능에 필요 (2) 정상적인 세포분열에 필요
비오틴 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",저분자 콜라겐 펩타이드 호 피부 보습 줄 수 자외선 피부 손상 피부 줄 수 히알루론산 피부 보습 줄 수 셀레늄 산소 판토텐산 지방 단백질 에너지 생 아연 면역 비오틴 지방 단백질 에너지 생
더 콜라겐100,"[저분자콜라겐펩타이드 (제 2023-33호)]
(국문) ① 피부 보습에 도움을 줄 수 있음
          ② 자외선에 의한 피부 손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음
(영문) ① May help to maintain skin moisturizing
          ② May help to maintain skin health from skin damage by UV radiation
",저분자 콜라겐 펩타이드 호 피부 보습 줄 수 자외선 피부 손상 피부 줄 수
더 콜렉티브 콜라겐,"(국문) 피부 보습에 도움을 줄 수 있음 (영문) May help to moisturize skin
①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
①유해산소로부터 세포를 보호하는데 필요
①정상적인 면역기능에 필요②정상적인 세포분열에 필요
①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
(1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",피부 보습 줄 수 철 항산화 산소 산소 면역 칼슘 인 뼈 골다공증 감소 지방 단백질 에너지 생
더 튼튼쑥쑥 키즈,"* 비타민A
① 어두운 곳에서 시각 적응을 위해 필요
② 피부와 점막을 형성하고 기능을 유지하는데 필요
③ 상피세포의 성장과 발달에 필요

* 비타민B1
① 탄수화물과 에너지 대사에 필요

* 비타민D
① 칼슘과 인이 흡수되고 이용되는데 필요
② 뼈의 형성과 유지에 필요
③ 골다공증발생 위험 감소에 도움을 줌

* 아연
① 정상적인 면역기능에 필요
② 정상적인 세포분열에 필요

* 엽산
① 세포와 혈액생성에 필요
② 태아 신경관의 정상 발달에 필요
③ 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

* 철
① 체내 산소운반과 혈액생성에 필요
② 에너지 생성에 필요

* 칼슘
① 뼈와 치아 형성에 필요
② 신경과 근육 기능 유지에 필요
③ 정상적인 혈액응고에 필요
④ 골다공증발생 위험 감소에 도움을 줌",비타민 곳 피부 점막 상피세포 비타민 에너지 비타민 칼슘 인 뼈 골다공증 감소 아연 면역 엽산 혈액 생 태아 경관 혈액 시스테인 철 산소 운반 혈액 생 에너지 생 칼슘 뼈 치아 신경 근육 혈액 골다공증 감소
더 플라워밍 우먼,"[회화나무열매추출물]
갱년기 여성의 건강에 도움을 줄 수 있음
[감마리놀렌산함유유지]
-혈중 콜레스테롤 개선·혈행개선·월경전 변화에 의한 불편한 상태 개선·면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음
[비타민D]
①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
[비타민E]
-항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요",회화나무 물 갱년기 여성 줄 수 감마 리놀렌산 콜레스테롤 혈행 경전 변화 상태 면역 과민반응 피부 상태 줄 수 비타민 칼슘 인 뼈 골다공증 감소 비타민 항산화 산소
더건강한비타민,"1) 비타민A : 어두운 곳에서 시각 적응을 위해 필요, 피부와 점막을 형성하고 기능을 유지하는데 필요, 상피세포의 성장
	    과 발달에 필요.
2) 비타민B1 : 탄수화물과 에너지 대사에 필요.
3) 비타민B2 : 체내 에너지 생성에 필요.
4) 비타민B6 : 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요.
5) 비타민B12 : 정상적인 엽산 대사에 필요.
6) 비타민C : 결합조직 형성과 기능유지에 필요, 철의 흡수에 필요, 유해산소로부터 세포를 보호하는데 필요.
7) 비타민D : 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증발생 위험 감소에 도움을 줌. 
8) 비타민E : 유해산소로부터 세포를 보호하는데 필요.
9) 비타민K : 정상적인 혈액응고에 필요, 뼈의 구성에 필요. 
10) 베타카로틴 : 어두운 곳에서 시각 적응을 위해 필요, 피부와 점막을 형성하고 기능을 유지하는데 필요, 상피세포의 성장        과 발달에 필요.
11) 엽산 : 세포와 혈액생성에 필요, 태아 신경관의 정상 발달에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 
	  필요. 
12) 나이아신 : 체내 에너지 생성에 필요.　
13) 판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요. 
14) 비오틴 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요. 
15) 칼슘 : 뼈와 치아 형성에 필요, 신경과 근육 기능 유지에 필요, 정상적인 혈액응고에 필요, 골다공증발생 위험 감소에 도움을 줌
16) 마그네슘 : 에너지 이용에 필요, 신경과 근육 기능 유지에 필요.
17) 철 : 체내 산소운반과 혈액생성에 필요, 에너지 생성에 필요.
18) 아연 : 정상적인 면역기능에 필요, 정상적인 세포분열에 필요. 
19) 구리 : 철의 운반과 이용에 필요, 유해산소로부터 세포를 보호하는데 필요. 
20) 셀렌 : 유해산소로부터 세포를 보호하는데 필요.
21) 요오드 : 갑상선 호르몬의 합성에 필요, 에너지 생성에 필요, 신경발달에 필요. 
22) 망간 : 뼈 형성에 필요, 에너지 이용에 필요, 유해산소로부터 세포를 보호하는데 필요. 
23) 몰리브덴 : 산화 · 환원 효소의 활성에 필요. 
24) 크롬",비타민 곳 피부 점막 상피세포 비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 엽산 비타민 철 산소 비타민 칼슘 인 뼈 골다공증 감소 비타민 산소 비타민 혈액 뼈 구성 베타카로틴 곳 피부 점막 상피세포 엽산 혈액 생 태아 경관 혈액 시스테인 나이아신 에너지 생 판토텐산 지방 단백질 에너지 생 비오틴 지방 단백질 에너지 생 칼슘 뼈 치아 신경 근육 혈액 골다공증 감소 마그네슘 에너지 신경 근육 철 산소 운반 혈액 생 에너지 생 아연 면역 구리 철 운반 산소 셀렌 산소 요오드 갑상선 호르몬 에너지 생 망간 뼈 에너지 산소 몰리브덴 산화 환원 효소 활 크롬
