제품명,기능성,processed_text
더 이상 버티다 간,"[실리마린]  ① 간 건강에 도움을 줄 수 있음
[비타민B1] (1) 탄수화물과 에너지 대사에 필요
[비타민B2] (1) 체내 에너지 생성에 필요
[비타민B6]  ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B12](1) 정상적인 엽산 대사에 필요
[엽산] ①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비오틴] (1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[판토텐산] (1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[셀렌] ①유해산소로부터 세포를 보호하는데 필요
[나이아신] ①체내 에너지 생성에 필요",실리 마린 간 줄 수 비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 엽산 엽산 혈액 생 태아 경관 혈액 시스테인 비오틴 지방 단백질 에너지 생 아연 면역 판토텐산 지방 단백질 에너지 생 셀렌 산소 나이아신 에너지 생
더 임팩트 솔루션,[나토균배양분말] 혈행 개선에 도움을 줄 수 있음(생리활성기능 2등급)[비타민 C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요[비타민B12] ①정상적인 엽산 대사에 필요,나토 균배 분말 혈행 줄 수 생리 활 비타민 철 항산화 산소 비타민 엽산
더 청춘W,"[회화나무열매추출물] 갱년기 여성의 건강에 도움을 줄 수 있음(기타기능Ⅱ)

[비타민C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요

[비타민B1] ①탄수화물과 에너지 대사에 필요

[나이아신] ①체내 에너지 생성에 필요

[비타민B6] ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민B2] ①체내 에너지 생성에 필요

[판토텐산] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[비오틴] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[엽산] ①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민B12] ①정상적인 엽산 대사에 필요

[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

[비타민E] ①유해산소로부터 세포를 보호하는데 필요

[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요

[망간] ①뼈 형성에 필요②에너지 이용에 필요③유해산소로부터 세포를 보호하는데 필요

[마그네슘] ①에너지 이용에 필요②신경과 근육 기능 유지에 필요

[칼슘] ①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌

[셀레늄(또는 셀렌)] ①유해산소로부터 세포를 보호하는데 필요

[구리] ①철의 운반과 이용에 필요②유해산소로부터 세포를 보호하는데 필요

[베타카로틴] ①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요",회화나무 물 갱년기 여성 줄 수 비타민 철 산소 비타민 에너지 나이아신 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 에너지 생 판토텐산 지방 단백질 에너지 생 비오틴 지방 단백질 에너지 생 엽산 혈액 생 태아 경관 혈액 시스테인 비타민 엽산 비타민 칼슘 인 뼈 골다공증 감소 비타민 산소 아연 면역 망간 뼈 에너지 산소 마그네슘 에너지 신경 근육 칼슘 뼈 치아 신경 근육 혈액 골다공증 감소 셀레늄 셀렌 산소 구리 철 운반 산소 베타카로틴 곳 피부 점막 상피세포
더 튼튼쑥쑥 키즈,"* 비타민A
① 어두운 곳에서 시각 적응을 위해 필요
② 피부와 점막을 형성하고 기능을 유지하는데 필요
③ 상피세포의 성장과 발달에 필요

* 비타민B1
① 탄수화물과 에너지 대사에 필요

* 비타민D
① 칼슘과 인이 흡수되고 이용되는데 필요
② 뼈의 형성과 유지에 필요
③ 골다공증발생 위험 감소에 도움을 줌

* 아연
① 정상적인 면역기능에 필요
② 정상적인 세포분열에 필요

* 엽산
① 세포와 혈액생성에 필요
② 태아 신경관의 정상 발달에 필요
③ 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

* 철
① 체내 산소운반과 혈액생성에 필요
② 에너지 생성에 필요

* 칼슘
① 뼈와 치아 형성에 필요
② 신경과 근육 기능 유지에 필요
③ 정상적인 혈액응고에 필요
④ 골다공증발생 위험 감소에 도움을 줌",비타민 곳 피부 점막 상피세포 비타민 에너지 비타민 칼슘 인 뼈 골다공증 감소 아연 면역 엽산 혈액 생 태아 경관 혈액 시스테인 철 산소 운반 혈액 생 에너지 생 칼슘 뼈 치아 신경 근육 혈액 골다공증 감소
더(THE)조은 마카 블랙라벨,"정자 운동성 개선에 도움을 줄 수 있음
①체내 에너지 생성에 필요
①정상적인 면역기능에 필요②정상적인 세포분열에 필요
①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
①탄수화물과 에너지 대사에 필요
①체내 에너지 생성에 필요
①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
①정상적인 엽산 대사에 필요",정자 운동 줄 수 에너지 생 면역 지방 단백질 에너지 생 단백질 아미노산 혈액 시스테인 에너지 에너지 생 혈액 생 태아 경관 혈액 시스테인 엽산
더건강한비타민,"1) 비타민A : 어두운 곳에서 시각 적응을 위해 필요, 피부와 점막을 형성하고 기능을 유지하는데 필요, 상피세포의 성장
	    과 발달에 필요.
2) 비타민B1 : 탄수화물과 에너지 대사에 필요.
3) 비타민B2 : 체내 에너지 생성에 필요.
4) 비타민B6 : 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요.
5) 비타민B12 : 정상적인 엽산 대사에 필요.
6) 비타민C : 결합조직 형성과 기능유지에 필요, 철의 흡수에 필요, 유해산소로부터 세포를 보호하는데 필요.
7) 비타민D : 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증발생 위험 감소에 도움을 줌. 
8) 비타민E : 유해산소로부터 세포를 보호하는데 필요.
9) 비타민K : 정상적인 혈액응고에 필요, 뼈의 구성에 필요. 
10) 베타카로틴 : 어두운 곳에서 시각 적응을 위해 필요, 피부와 점막을 형성하고 기능을 유지하는데 필요, 상피세포의 성장        과 발달에 필요.
11) 엽산 : 세포와 혈액생성에 필요, 태아 신경관의 정상 발달에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 
	  필요. 
12) 나이아신 : 체내 에너지 생성에 필요.　
13) 판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요. 
14) 비오틴 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요. 
15) 칼슘 : 뼈와 치아 형성에 필요, 신경과 근육 기능 유지에 필요, 정상적인 혈액응고에 필요, 골다공증발생 위험 감소에 도움을 줌
16) 마그네슘 : 에너지 이용에 필요, 신경과 근육 기능 유지에 필요.
17) 철 : 체내 산소운반과 혈액생성에 필요, 에너지 생성에 필요.
18) 아연 : 정상적인 면역기능에 필요, 정상적인 세포분열에 필요. 
19) 구리 : 철의 운반과 이용에 필요, 유해산소로부터 세포를 보호하는데 필요. 
20) 셀렌 : 유해산소로부터 세포를 보호하는데 필요.
21) 요오드 : 갑상선 호르몬의 합성에 필요, 에너지 생성에 필요, 신경발달에 필요. 
22) 망간 : 뼈 형성에 필요, 에너지 이용에 필요, 유해산소로부터 세포를 보호하는데 필요. 
23) 몰리브덴 : 산화 · 환원 효소의 활성에 필요. 
24) 크롬",비타민 곳 피부 점막 상피세포 비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 엽산 비타민 철 산소 비타민 칼슘 인 뼈 골다공증 감소 비타민 산소 비타민 혈액 뼈 구성 베타카로틴 곳 피부 점막 상피세포 엽산 혈액 생 태아 경관 혈액 시스테인 나이아신 에너지 생 판토텐산 지방 단백질 에너지 생 비오틴 지방 단백질 에너지 생 칼슘 뼈 치아 신경 근육 혈액 골다공증 감소 마그네슘 에너지 신경 근육 철 산소 운반 혈액 생 에너지 생 아연 면역 구리 철 운반 산소 셀렌 산소 요오드 갑상선 호르몬 에너지 생 망간 뼈 에너지 산소 몰리브덴 산화 환원 효소 활 크롬
더건강한에너지,"1) 비타민B1 : 탄수화물과 에너지 대사에 필요.
2) 비타민B2 : 체내 에너지 생성에 필요.
3) 비타민B6 : 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요.
4) 비타민B12 : 정상적인 엽산 대사에 필요.
5) 나이아신 : 체내 에너지 생성에 필요.
6) 판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요.
7) 비오틴 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요.
8) 아연 : 정상적인 면역기능에 필요, 정상적인 세포분열에 필요. 
9) 셀렌 : 유해산소로부터 세포를 보호하는데 필요.",비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 엽산 나이아신 에너지 생 판토텐산 지방 단백질 에너지 생 비오틴 지방 단백질 에너지 생 아연 면역 셀렌 산소
더고래 쏘팔메토 옥타코사놀 플러스,"[쏘팔메토열매추출물] 전립선 건강의 유지에 도움을 줄 수 있음
[아연] ①정상적인 면역기능에 필요 ②정상적인 세포분열에 필요
[옥타코사놀함유유지] 지구력 증진에 도움을 줄 수 있음
[나이아신] 체내 에너지 생성에 필요
[비타민B6] ①단백질 및 아미노산 이용에 필요 ②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B1] 탄수화물과 에너지 대사에 필요
[비타민B2] 체내 에너지 생성에 필요
[엽산] ①세포와 혈액생성에 필요 ②태아 신경관의 정상 발달에 필요 ③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요",팔메 토 물 전립선 줄 수 아연 면역 옥 타코 놀 지구력 줄 수 나이아신 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 에너지 비타민 에너지 생 엽산 혈액 생 태아 경관 혈액 시스테인
더나은 파워 쏘팔메토,"쏘팔메토열매추출물 : 전립선 건강의 유지에 도움을 줄 수 있음
옥타코사놀함유유지 : 지구력 증진에 도움을 줄 수 있음
아연 : 정상적인 면역기능에 필요/정상적인 세포분열에 필요
나이아신 : 체내 에너지 생성에 필요
판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
셀레늄 : 유해산소로부터 세포를 보호하는데 필요
비타민 B6 : 단백질 및 아미노산 이용에 필요/혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
비타민 B1 : 탄수화물과 에너지 대사에 필요
비타민 B2 : 체내 에너지 생성에 필요
비타민 D : 칼슘과 인이 흡수되고 이용되는데 필요/뼈의 형성과 유지에 필요/골다공증발생 위험 감소에 도움을 줌
엽산 : 세포와 혈액생성에 필요/태아 신경관의 정상 발달에 필요/혈액의 호모시스테인 수준을 정상으로 유지하는데 필요",팔메 토 물 전립선 줄 수 옥 타코 놀 지구력 줄 수 아연 면역 나이아신 에너지 생 판토텐산 지방 단백질 에너지 생 셀레늄 산소 비타민 단백질 아미노산 혈액 시스테인 비타민 에너지 비타민 에너지 생 비타민 칼슘 인 뼈 골다공증 감소 엽산 혈액 생 태아 경관 혈액 시스테인
더다른 미강,"1. 미강주정추출물: 수면에 도움을 줄 수 있음
2. 비타민B1: 탄수화물과 에너지 대사에 필요
3. 비타민B12: 정상적인 엽산 대사에 필요
4. 비타민C: (가) 결합조직 형성과 기능유지에 필요 (나) 철의 흡수에 필요 (다) 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
5. 나이아신: 체내 에너지 생성에 필요
6. 판토텐산: 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
7. 엽산: (가) 세포와 혈액생성에 필요 (나) 태아 신경관의 정상 발달에 필요 (다) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요",강 주정 물 수면 줄 수 비타민 에너지 비타민 엽산 비타민 철 항산화 산소 나이아신 에너지 생 판토텐산 지방 단백질 에너지 생 엽산 혈액 생 태아 경관 혈액 시스테인
