제조사,제품명,신고번호,등록일,유통기한,기능성
이앤에스(주),더 이상 버티다 간,20120017002225,20231226,24개월,"[실리마린]  ① 간 건강에 도움을 줄 수 있음
[비타민B1] (1) 탄수화물과 에너지 대사에 필요
[비타민B2] (1) 체내 에너지 생성에 필요
[비타민B6]  ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B12](1) 정상적인 엽산 대사에 필요
[엽산] ①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비오틴] (1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[판토텐산] (1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[셀렌] ①유해산소로부터 세포를 보호하는데 필요
[나이아신] ①체내 에너지 생성에 필요"
엔피케이(주),더 청춘W,20100019004695,20170525,제조일로부터 24개월,"[회화나무열매추출물] 갱년기 여성의 건강에 도움을 줄 수 있음(기타기능Ⅱ)

[비타민C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요

[비타민B1] ①탄수화물과 에너지 대사에 필요

[나이아신] ①체내 에너지 생성에 필요

[비타민B6] ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민B2] ①체내 에너지 생성에 필요

[판토텐산] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[비오틴] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[엽산] ①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민B12] ①정상적인 엽산 대사에 필요

[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

[비타민E] ①유해산소로부터 세포를 보호하는데 필요

[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요

[망간] ①뼈 형성에 필요②에너지 이용에 필요③유해산소로부터 세포를 보호하는데 필요

[마그네슘] ①에너지 이용에 필요②신경과 근육 기능 유지에 필요

[칼슘] ①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌

[셀레늄(또는 셀렌)] ①유해산소로부터 세포를 보호하는데 필요

[구리] ①철의 운반과 이용에 필요②유해산소로부터 세포를 보호하는데 필요

[베타카로틴] ①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요"
엠에스바이오텍(주),더 튼튼쑥쑥 키즈,20040020020872,20210324,제조일로부터 24개월,"* 비타민A
① 어두운 곳에서 시각 적응을 위해 필요
② 피부와 점막을 형성하고 기능을 유지하는데 필요
③ 상피세포의 성장과 발달에 필요

* 비타민B1
① 탄수화물과 에너지 대사에 필요

* 비타민D
① 칼슘과 인이 흡수되고 이용되는데 필요
② 뼈의 형성과 유지에 필요
③ 골다공증발생 위험 감소에 도움을 줌

* 아연
① 정상적인 면역기능에 필요
② 정상적인 세포분열에 필요

* 엽산
① 세포와 혈액생성에 필요
② 태아 신경관의 정상 발달에 필요
③ 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

* 철
① 체내 산소운반과 혈액생성에 필요
② 에너지 생성에 필요

* 칼슘
① 뼈와 치아 형성에 필요
② 신경과 근육 기능 유지에 필요
③ 정상적인 혈액응고에 필요
④ 골다공증발생 위험 감소에 도움을 줌"
주식회사 노바렉스,더(THE)조은 마카 블랙라벨,200400200081985,20190404,제조일로부터 24개월,"정자 운동성 개선에 도움을 줄 수 있음
①체내 에너지 생성에 필요
①정상적인 면역기능에 필요②정상적인 세포분열에 필요
①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
①탄수화물과 에너지 대사에 필요
①체내 에너지 생성에 필요
①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
①정상적인 엽산 대사에 필요"
남양유업 주식회사 세종공장,더:단백 면역+ 케어프로틴,202200211983,20240109,제조일로부터 18개월,"[단백질]근육, 결합조직 등 신체조직의 구성성분, 효소 , 호르몬  항체의 구성에 필요
[NAG] 관절 및 연골건강에 도움을 줄 수 있음
[칼슘] 뼈와 치아 형성에 필요, 신경과 근육 기능 유지에 필요, 골다공증 발생 위험 감소에 도움을 줌
[마그네슘] 에너지 이용에 필요, 신경과 근육 기능 유지에 필요
[비타민D] 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증 발생 위험 감소에 도움을 줌
[비타민B6] 단백질 및 아미노산 이용에 필요
[아연] 정상적인 면역 기능에 필요
[판토텐산]지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[셀레늄] 유해 산소로 부터 세포를 보호하는데 필요"
코스맥스바이오(주),더건강한비타민,200400200022331,20190321,제조일로부터 2년.,"1) 비타민A : 어두운 곳에서 시각 적응을 위해 필요, 피부와 점막을 형성하고 기능을 유지하는데 필요, 상피세포의 성장
	    과 발달에 필요.
2) 비타민B1 : 탄수화물과 에너지 대사에 필요.
3) 비타민B2 : 체내 에너지 생성에 필요.
4) 비타민B6 : 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요.
5) 비타민B12 : 정상적인 엽산 대사에 필요.
6) 비타민C : 결합조직 형성과 기능유지에 필요, 철의 흡수에 필요, 유해산소로부터 세포를 보호하는데 필요.
7) 비타민D : 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증발생 위험 감소에 도움을 줌. 
8) 비타민E : 유해산소로부터 세포를 보호하는데 필요.
9) 비타민K : 정상적인 혈액응고에 필요, 뼈의 구성에 필요. 
10) 베타카로틴 : 어두운 곳에서 시각 적응을 위해 필요, 피부와 점막을 형성하고 기능을 유지하는데 필요, 상피세포의 성장        과 발달에 필요.
11) 엽산 : 세포와 혈액생성에 필요, 태아 신경관의 정상 발달에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 
	  필요. 
12) 나이아신 : 체내 에너지 생성에 필요.　
13) 판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요. 
14) 비오틴 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요. 
15) 칼슘 : 뼈와 치아 형성에 필요, 신경과 근육 기능 유지에 필요, 정상적인 혈액응고에 필요, 골다공증발생 위험 감소에 도움을 줌
16) 마그네슘 : 에너지 이용에 필요, 신경과 근육 기능 유지에 필요.
17) 철 : 체내 산소운반과 혈액생성에 필요, 에너지 생성에 필요.
18) 아연 : 정상적인 면역기능에 필요, 정상적인 세포분열에 필요. 
19) 구리 : 철의 운반과 이용에 필요, 유해산소로부터 세포를 보호하는데 필요. 
20) 셀렌 : 유해산소로부터 세포를 보호하는데 필요.
21) 요오드 : 갑상선 호르몬의 합성에 필요, 에너지 생성에 필요, 신경발달에 필요. 
22) 망간 : 뼈 형성에 필요, 에너지 이용에 필요, 유해산소로부터 세포를 보호하는데 필요. 
23) 몰리브덴 : 산화 · 환원 효소의 활성에 필요. 
24) 크롬"
코스맥스바이오(주),더건강한아침,200400200022327,20190318,제조일로부터 2년.,"1) 테아닌 :  스트레스로 인한 긴장완화에 도움을 줄 수 있음. 
2) 비타민B6 : 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요.
3) 비타민C : 결합조직 형성과 기능유지에 필요, 철의 흡수에 필요, 유해산소로부터 세포를 보호하는데 필요.
4) 비타민E : 유해산소로부터 세포를 보호하는데 필요
5) 나이아신 : 체내 에너지 생성에 필요.　
6) 판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요. 
7) 마그네슘 : 에너지 이용에 필요, 신경과 근육 기능 유지에 필요.
8) 아연 : 정상적인 면역기능에 필요, 정상적인 세포분열에 필요. 
9) 셀렌 : 유해산소로부터 세포를 보호하는데 필요."
광동헬스바이오(주) 2공장,더고래 쏘팔메토 옥타코사놀 플러스,200400200141901,20240924,제조일로부터 24개월,"[쏘팔메토열매추출물] 전립선 건강의 유지에 도움을 줄 수 있음
[아연] ①정상적인 면역기능에 필요 ②정상적인 세포분열에 필요
[옥타코사놀함유유지] 지구력 증진에 도움을 줄 수 있음
[나이아신] 체내 에너지 생성에 필요
[비타민B6] ①단백질 및 아미노산 이용에 필요 ②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B1] 탄수화물과 에너지 대사에 필요
[비타민B2] 체내 에너지 생성에 필요
[엽산] ①세포와 혈액생성에 필요 ②태아 신경관의 정상 발달에 필요 ③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요"
코스맥스엔비티(주),더굿슬립,200700170352499,20230814,제조일로부터 24개월,"[비타민B6]
단백질 및 아미노산 이용에 필요
혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[마그네슘]
에너지 이용에 필요
신경과 근육 기능 유지에 필요

[테아닌]
스트레스로 인한 긴장완화에 도움을 줄 수 있음

[아쉬아간다 추출물(Shoden®)(제2022-27호)]
(국문) 수면건강에 도움을 줄 수 있음
(영문) May help to improve sleep quality"
엠에스바이오텍(주),더나은 칼슘마그네슘비타민D&K,200400200201126,20230426,제조일로부터 24개월,"* 마그네슘
① 에너지 이용에 필요
② 신경과 근육 기능 유지에 필요

*비타민 D
①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

*비타민E
①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

*비타민 K
①정상적인 혈액응고에 필요
②뼈의 구성에 필요

* 칼슘
① 뼈와 치아 형성에 필요
② 신경과 근육 기능 유지에 필요
③ 정상적인 혈액응고에 필요
④ 골다공증발생 위험 감소에 도움을 줌"
한국바이오팜(주)에이치피,더나은 코랄칼슘마그네슘플러스디,20040020046555,20190128,제조일로부터 24개월,"①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌

①에너지 이용에 필요②신경과 근육 기능 유지에 필요

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌"
주식회사 리앤씨바이오,더나은 파워 쏘팔메토,202000161896,20210204,제조일로부터 24개월,"쏘팔메토열매추출물 : 전립선 건강의 유지에 도움을 줄 수 있음
옥타코사놀함유유지 : 지구력 증진에 도움을 줄 수 있음
아연 : 정상적인 면역기능에 필요/정상적인 세포분열에 필요
나이아신 : 체내 에너지 생성에 필요
판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
셀레늄 : 유해산소로부터 세포를 보호하는데 필요
비타민 B6 : 단백질 및 아미노산 이용에 필요/혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
비타민 B1 : 탄수화물과 에너지 대사에 필요
비타민 B2 : 체내 에너지 생성에 필요
비타민 D : 칼슘과 인이 흡수되고 이용되는데 필요/뼈의 형성과 유지에 필요/골다공증발생 위험 감소에 도움을 줌
엽산 : 세포와 혈액생성에 필요/태아 신경관의 정상 발달에 필요/혈액의 호모시스테인 수준을 정상으로 유지하는데 필요"
콜마비앤에이치(주)음성공장,더다른 미강,200600200032373,20220405,제조일로부터 24개월,"1. 미강주정추출물: 수면에 도움을 줄 수 있음
2. 비타민B1: 탄수화물과 에너지 대사에 필요
3. 비타민B12: 정상적인 엽산 대사에 필요
4. 비타민C: (가) 결합조직 형성과 기능유지에 필요 (나) 철의 흡수에 필요 (다) 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
5. 나이아신: 체내 에너지 생성에 필요
6. 판토텐산: 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
7. 엽산: (가) 세포와 혈액생성에 필요 (나) 태아 신경관의 정상 발달에 필요 (다) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요"
(주)서흥,더다른 비오틴,200400200061691,20210916,제조일로부터 24개월,"판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
크롬 : 체내 탄수화물, 지방, 단백질 대사에 관여
셀렌 : 유해산소로부터 세포를 보호하는데 필요   
아연 : (1) 정상적인 면역기능에 필요 (2) 정상적인 세포분열에 필요
비타민B6 : (1) 단백질 및 아미노산 이용에 필요 (2) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요 
비타민B1 : 탄수화물과 에너지 대사에 필요
비오틴 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
엽산 : (1) 세포와 혈액생성에 필요 (2) 태아 신경관의 정상 발달에 필요 (3) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요"
주식회사한미양행,더다른 비오틴,200400150831969,20231004,제조일로부터 24개월까지,"(1) 탄수화물과 에너지 대사에 필요

(1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

(1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

①정상적인 면역기능에 필요②정상적인 세포분열에 필요

①유해산소로부터 세포를 보호하는데 필요

(1) 체내 탄수화물, 지방, 단백질 대사에 관여"
(주)알피바이오,더다른 올인원 종합비타민,200400170061100,20210223,제조일로부터 24개월까지,"[마그네슘] ①에너지 이용에 필요②신경과 근육 기능 유지에 필요
[비타민C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[요오드] ①갑상선 호르몬의 합성에 필요②에너지 생성에 필요③신경발달에 필요
[나이아신] ①체내 에너지 생성에 필요
[비타민E] ①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[철] ①체내 산소운반과 혈액생성에 필요②에너지 생성에 필요
[판토텐산] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[망간] ①뼈 형성에 필요②에너지 이용에 필요③유해산소로부터 세포를 보호하는데 필요
[크롬] 체내 탄수화물, 지방, 단백질 대사에 관여
[몰리브덴] 산화·환원 효소의 활성에 필요
[비타민A] ①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요
[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
[비타민B2] ①체내 에너지 생성에 필요
[비타민B1] ①탄수화물과 에너지 대사에 필요
[셀레늄] ①유해산소로부터 세포를 보호하는데 필요
[비타민B12] ①정상적인 엽산 대사에 필요
[비타민B6] ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[구리] ①철의 운반과 이용에 필요②유해산소로부터 세포를 보호하는데 필요
[비타민K] ①정상적인 혈액응고에 필요②뼈의 구성에 필요
[엽산] ①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비오틴] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요"
(주)서흥헬스케어 2공장,더다른 유기농 밀크씨슬,2018001205646,20230731,제조일로부터 24개월,"밀크씨슬(카르두스 마리아누스) 추출물 : 간 건강에 도움을 줄 수 있음
셀레늄 : (1) 유해산소로부터 세포를 보호하는데 필요
엽산 : (1) 세포와 혈액생성에 필요 (2) 태아 신경관의 정상 발달에 필요 (3) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요"
(주)서흥,더다른 유기농 엽산,200400200061693,20210917,제조일로부터 24개월,"엽산 : (1) 세포와 혈액생성에 필요 (2) 태아 신경관의 정상 발달에 필요 (3) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
비타민B12 : 정상적인 엽산 대사에 필요
"
(주)서흥,더다른 이뮨타민 올인원,200400200061930,20240306,제조일로부터 24개월,"비타민C : (1) 결합조직 형성과 기능유지에 필요 (2) 철의 흡수에 필요 (3) 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요  
나이아신 : 체내 에너지 생성에 필요
셀레늄 : 유해산소로부터 세포를 보호하는데 필요
아연 : (1) 정상적인 면역기능에 필요 (2) 정상적인 세포분열에 필요
비타민E : 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
비타민B1 : 탄수화물과 에너지 대사에 필요
비타민B2 : 체내 에너지 생성에 필요
비타민B6 : (1) 단백질 및 아미노산 이용에 필요 (2) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
비오틴 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
비타민A : (1) 어두운 곳에서 시각 적응을 위해 필요 (2) 피부와 점막을 형성하고 기능을 유지하는데 필요 (3) 상피세포의 성장과 발달에 필요
비타민D : (1) 칼슘과 인이 흡수되고 이용되는데 필요 (2) 뼈의 형성과 유지에 필요 (3) 골다공증발생 위험 감소에 도움을 줌
엽산 : (1) 세포와 혈액생성에 필요 (2) 태아 신경관의 정상 발달에 필요 (3) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
비타민B12 : (1) 정상적인 엽산 대사에 필요"
콜마비앤에이치(주)음성공장,더다른 칼마디&케이,200600200032197,20211022,제조일로부터 24개월,"- 비타민 D : 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증발생 위험 감소에 도움을 줌
- 비타민 K : 정상적인 혈액응고에 필요, 뼈의 구성에 필요
- 칼슘 : 뼈와 치아 형성에 필요, 신경과 근육 기능 유지에 필요, 정상적인 혈액응고에 필요, 골다공증발생 위험 감소에 도움을 줌
- 마그네슘 : 에너지 이용에 필요, 신경과 근육 기능 유지에 필요"
코스맥스엔비티(주),더마그,200700170352253,20221019,제조일로부터 18개월,"[마그네슘]
①에너지 이용에 필요
②신경과 근육 기능 유지에 필요
[요오드]
①갑상선 호르몬의 합성에 필요
②에너지 생성에 필요
③신경발달에 필요
[비타민E]
항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요"
(주)한국씨엔에스팜,더맘 칼슘,200400200072534,20210118,제조일로부터 24개월까지,"[칼슘]①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌

[마그네슘]①에너지 이용에 필요②신경과 근육 기능 유지에 필요

[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌"
주식회사 다움,더맘스,20040016034110,20171030,제조일로부터 24개월 ,"[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

[비타민B2]①체내 에너지 생성에 필요

[비타민B1]①탄수화물과 에너지 대사에 필요

[나이아신]①체내 에너지 생성에 필요

[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비오틴]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[판토텐산]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[엽산]①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민C]①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[셀레늄]①유해산소로부터 세포를 보호하는데 필요

[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요

[철]①체내 산소운반과 혈액생성에 필요②에너지 생성에 필요

[크롬] 체내 탄수화물, 지방, 단백질 대사에 관여"
코스맥스엔비티(주),더본 칼슘,200700170352172,20220801,제조일로부터 18개월까지,"[칼슘]
①뼈와 치아 형성에 필요
②신경과 근육 기능 유지에 필요
③정상적인 혈액응고에 필요
④골다공증발생 위험 감소에 도움을 줌"
코스맥스엔비티(주),더블 본 파워(Double Bone Power),20070017035830,20160720,제조일로부터 24개월,"[칼슘]
①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌
[마그네슘]
①에너지 이용에 필요②신경과 근육 기능 유지에 필요
[비타민D]
①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌"
(주)허브큐어,더블 스텝 플러스,20040015162248,20180905,제조일로부터 2년까지,①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌
(주)한풍네이처팜,더블 업 철분 엽산 비타민D,20120019007771,20230609,제조일로부터 24개월까지,"[비타민C] 결합조직 형성과 기능유지에 필요 / 철의 흡수에 필요 /  항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[철] 체내 산소운반과 혈액생성에 필요 / 에너지 생성에 필요
[비타민D] 칼슘과 인이 흡수되고 이용되는데 필요 / 뼈의 형성과 유지에 필요 / 골다공증발생 위험 감소에 도움을 줌
[엽산] 세포와 혈액생성에 필요 / 태아 신경관의 정상 발달에 필요 / 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요"
(주)비오팜,더블본 파워,200400170211587,20231113,제조일로부터 24개월,"[칼슘]  ①뼈와 치아 형성에 필요 ②신경과 근육 기능 유지에 필요 ③정상적인 혈액응고에 필요 ④골다공증발생 위험 감소에 도움을 줌
[마그네슘] ①에너지 이용에 필요 ②신경과 근육 기능 유지에 필요
[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요 ②뼈의 형성과 유지에 필요 ③골다공증발생 위험 감소에 도움을 줌"
엠에스바이오텍(주),더블아웃,20040020020873,20210326,제조일로부터 24개월,"* 마그네슘
① 에너지 이용에 필요
② 신경과 근육 기능 유지에 필요

* 비오틴
① 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

* 비타민B1
① 탄수화물과 에너지 대사에 필요

* 비타민B2
① 체내 에너지 생성에 필요

* 비타민B6
① 단백질 및 아미노산 이용에 필요
② 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

* 비타민C
① 결합조직 형성과 기능유지에 필요
② 철의 흡수에 필요
③ 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

* 비타민D
① 칼슘과 인이 흡수되고 이용되는데 필요
② 뼈의 형성과 유지에 필요
③ 골다공증발생 위험 감소에 도움을 줌

* 아연
① 정상적인 면역기능에 필요
② 정상적인 세포분열에 필요

* 키토산 / 키토올리고당
① 혈중 콜레스테롤 개선·체지방 감소에 도움을 줄 수 있음
	1) 혈중 콜레스테롤 개선에 도움을 줄 수 있음 ( : 키토산 또는 키토올리고당으로서 1.2~4.5 g)
	2) 체지방 감소에 도움을 줄 수 있음 ( : 키토산으로서 3.0~4.5 g, 키토올리고당으로서 3 g)

* 판토텐산 ① 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요"
